symbol,name,exchange
^DJCIAWT,Dow Jones Commodity Index All W,DJI
^SP500-30202010,S&P 500 Agricultural Products (,SNP
D1AH.DE,ENTRY ALL SHS IND P,GER
^NQEMASIA5700CADN,NASDAQ EM Asia Travel & Leisure,
KRXSECTOR-9.KS,,
^NQNA2700LMJPY,NASDAQ N America Ind Goods&Svcs,
^NQNA1000EURT,NASDAQ N America Basic Matls EU,
CECEMUSD.VI,,
D8TZ.DE,INAVISHPPLETCCHF,GER
^NQEMASIA4000T,The NASDAQ EM Asia Health Care,
^NQUSL8600AUDN,NQ US Lg Cap Real Estate AUD NT,
^NQEU3300GBP,NASDAQ Europe Auto & Parts GBP,
^NQLA3000LMGBPT,NASDAQ Lat Am Cnsmr Goods Lg Md,
^NQID3000AUDN,NASDAQ Indonesia Cnsmr Goods AU,
CFNDEUR.VI,,
^NQEMASIA2300N,The NASDAQ EM Asia Construction,
^NQUSB5751LMGBPT,NQ US Airlines Large Mid Cap G,
^NQDMMEA8300AUD,NASDAQ DM MEA Banks AUD Index,
^NQDMASIA3500EUR,NASDAQ DM Asia Food & Beverage,
AXX4500.L,,
4NAD.DE,DAXSUB ALL WATR P,GER
^NQLASC,The NASDAQ Latin America Small,
^NQPTLMAUDT,NASDAQ Portugal Large Mid Cap A,
^NQASIA2000LMGBPT,NASDAQ Asia Inds Large Mid Cap,
SFA57T.SW,SBI For AAA-A 5-7 T,EBS
^NQASPA3700EURT,NASDAQ ASPA Psnl & Hhld Goods E,
^NQUSB9535LMAUD,NQ US Internet Large Mid Cap A,
^NQDMEU9000AUDN,NASDAQ DM Europe Tech AUD NTR I,
^NQZALCZAR,NASDAQ South Africa Large Cap Z,
^NQDMASIA6000JPYT,NASDAQ DM Asia Telecom JPY TR I,
0JGR.DE,INAVISMSCIEUSDHCHF,GER
^NQASPASCAUD,NASDAQ ASPA Small Cap AUD Index,
^NQAU8000EURT,NASDAQ Australia Financials EUR,
^NQEMASIA2700EURT,NASDAQ EM Asia Ind Goods & Svcs,
^NQEMASIAMCGBPN,NASDAQ EM Asia Mid Cap GBP NTR,
^NQDMXUS2000AUDT,NASDAQ DM Ex US Industrials AUD,
AW01.FGI,FTSE All World Index,FGI
^NQJP8300AUD,NASDAQ Japan Banks AUD Index,
^NQDMASIA9000LM,NASDAQ DM Asia Tech Large Mid C,
4MYJ.DE,INAV IS.MSC.FEXJSC ETF LS,GER
^P1SUSTR,Dow Jones Sustainability Asia P,DJI
^NQASPA1700LMGBPN,NASDAQ ASPA Basic Resources Lg,
^NQDMASPA3700AUDN,NASDAQ DM ASPA Psnl & Hhld Good,
^NQUSS3300AUD,NQ US Sm Cap Auto & Parts AUD I,
3BR2.DE,DAXGL CH FS USD P,GER
^NQDMASIA1000GBP,NASDAQ DM Asia Basic Matls GBP,
^NQASPA1000EUR,NASDAQ ASPA Basic Matls EUR Ind,
^NQEMASIA2700CADT,NASDAQ EM Asia Ind Goods & Svcs,
WIAMERS4000.L,,
^NQMEA3500AUDN,NASDAQ MEA Food & Beverage AUD,
SFS12D.SW,SBI For Sup AAA-AA D,EBS
3952098.SG,,
^NQNA3000LMGBPT,NASDAQ N America Cnsmr Goods Lg,
^NQCNMCAUD,NASDAQ China Mid Cap AUD Index,
^NQUSS2795EURT,NQ US Sm Cap Financial Admin EU,
^NQJP3300LMCADT,NASDAQ Japan Auto & Parts Lg Md,
^DJNAJO,Dow Jones North America Select,DJI
SFF55Y.SW,SBI For AAA-AA 15+ Y,EBS
^NQEMASIA3500GBP,NASDAQ EM Asia Food & Beverage,
SGCP2WV.Z,,
^NQPTSCAUDN,NASDAQ Portugal Small Cap AUD N,
ICE9U.PA,AMUNDI CE9U INAV,PAR
^NQEM0001AUDT,NASDAQ Emerging Oil & Gas AUD T,
EGAX.L,,
^NQDMASPA8000GBP,NASDAQ DM ASPA Financials GBP I,
^NQNO3000AUDN,NASDAQ Norway Cnsmr Goods AUD N,
